Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","15p","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",116.250000,-43.000000,180.000000,top
"C2","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",116.250000,-41.000000,180.000000,top
"C3","47u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",116.250000,-39.000000,180.000000,top
"C4","15p","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",116.200000,-56.062500,180.000000,top
"C5","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",116.200000,-57.812500,180.000000,top
"C6","47u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",116.190718,-59.562500,180.000000,top
"C7","4.7u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",116.250000,-47.750000,180.000000,top
"C8","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",116.250000,-49.250000,180.000000,top
"C9","4.7u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",116.250000,-50.800000,180.000000,top
"C20","100n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",103.300000,-41.000000,-90.000000,top
"C21","2.2u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",109.249951,-37.750000,180.000000,top
"C22","470p","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",109.233302,-44.500000,180.000000,top
"FB1","120R/0.70A","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",119.000000,-41.750000,90.000000,top
"J1","73412-0110","MOLEX_73412-0110",140.000000,-46.000000,0.000000,top
"J2","73412-0110","MOLEX_73412-0110",140.000000,-53.500000,0.000000,top
"J3","20021121-00010C4LF","20021121-00010C4LF",139.000000,-61.500000,90.000000,top
"J4","20021121-00010C4LF","20021121-00010C4LF",129.600000,-39.100000,0.000000,top
"J5","10129380-908001ALF","10129380-908001ALF",112.160000,-72.000000,0.000000,top
"J7","~","G800MJ302018EU",115.650000,-64.600000,180.000000,top
"J20","694106106102","694106106102",97.700000,-47.000002,0.000000,top
"J40","693043020611","693043020611",131.070000,-61.859999,0.000000,top
"JMPR","0","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",104.800000,-66.900000,0.000000,top
"R1","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",121.200000,-40.400000,-90.000000,top
"SW1","SW_SPST","TL3302BF180QG",99.900000,-63.100000,0.000000,top
"U2","NRF9160","NRF9160-SICA-B1A-R",126.750000,-49.225000,0.000000,top
"U20","MIC5219-3.3YM5-TR","MIC5219-3.3YM5-TR",108.750000,-41.000000,0.000000,top
"U40","TPD3F303DPVR","TPD3F303DPVR",131.350001,-57.210001,90.000000,top
